name,price(USD),rating,image,price(NGN)
"15"" Apple MacBook Pro Retina 2015 2.2GHz Core i7 16GB RAM 256GB SSD - Good",249.99,100,https://i.ebayimg.com/thumbs/images/g/8nsAAOSwfSBmeylP/s-l140.jpg,371985
"Apple 2019 16"" MacBook Pro 2.6GHz i7 16GB RAM 512GB SSD RP5300M 4GB - Very Good",569.99,100,https://i.ebayimg.com/thumbs/images/g/SAEAAOSwFzxl4SJl/s-l140.jpg,848145
"Apple MacBook Pro 13"" 2017 2.3 i5 16GB 256GB SSD No Touch Bar  Space Gray - Good",279.0,99.1,https://i.ebayimg.com/thumbs/images/g/bkgAAOSwFzNlu-ma/s-l140.jpg,415152
Apple MacBook Pro 13 Touch Bar Silver 2017 3.1 GHz i5 7th Gen  8GB 256GB,269.99,98.8,https://i.ebayimg.com/thumbs/images/g/tQwAAOSwSDhmaK~Y/s-l140.jpg,401745
Apple MacBook Pro 2020 A2338 13in M1 8 Core 8GB RAM 512GB SSD Very Good,609.95,98.3,https://i.ebayimg.com/thumbs/images/g/zL8AAOSwOYtl3iMN/s-l140.jpg,907606
"Apple Macbook Pro 15"" 512GB 6-Core  Core i9 16GB RAM Space Gray MR932LL/A 2018",373.62,96.2,https://i.ebayimg.com/thumbs/images/g/Sw0AAOSwLApls9Y~/s-l140.jpg,555947
"Apple MacBook Pro 16"" Gray 2019 2.6 GHz i7 16GB 512GB AMD Radeon Pro 5300M 4GB",499.99,98.8,https://i.ebayimg.com/thumbs/images/g/OBMAAOSwdl1kd6n5/s-l140.jpg,743985
MacBook Pro 13 Touch Bar Space Gray 2018 2.3 GHz Core i5 8GB 512GB - Very Good,329.99,98.8,https://i.ebayimg.com/thumbs/images/g/kV4AAOSwWtRmax-J/s-l140.jpg,491025
"Apple MacBook Pro Myda2ll/a 2020 Touch Bar 13.3"" Space Gray M1 8GB 256GB SSD",649.99,99.9,https://i.ebayimg.com/thumbs/images/g/7wsAAOSw2-pmczgD/s-l140.jpg,967185
SONOMA 2020+ Apple MacBook Pro 13 i7 Quad Core 4.1GHz Turbo 32GB RAM 1TB SSD,975.0,98.9,https://i.ebayimg.com/thumbs/images/g/StsAAOSwAmFmfERQ/s-l140.jpg,1450800
"EXCELLENT Apple MacBook Pro 13"" / 3.3GHZ i5 TURBO / 512GB SSD",365.0,99.3,https://i.ebayimg.com/thumbs/images/g/JPQAAOSwP4FmPZZD/s-l140.jpg,543120
"New Listing2020 Spanish Apple MacBook Pro 13.3"" MWP82LL/A w/i5 2.0GHz/16GB/1TB - Very Good",101.0,98.5,https://i.ebayimg.com/thumbs/images/g/Yk4AAOSwYERmfdXH/s-l140.jpg,150288
MacBook Pro 15 2016 Quad-Core i7 16GB RAM 1TB SSD 2.9GHZ (HD GRAPHICS 530) 1.5GB,300.0,96.8,https://i.ebayimg.com/thumbs/images/g/z~UAAOSwql9meeHf/s-l140.jpg,446400
"MacBook Pro 13"" Space Gray Late 2016 2.4 GHz Intel Core i7  8GB 256GB SSD Good",199.99,98.8,https://i.ebayimg.com/thumbs/images/g/jjgAAOSwSZlmXgtS/s-l140.jpg,297585
Apple MacBook Pro 2020 A2338 13in M1 8 Core 8GB RAM 256GB SSD Excellent,594.95,98.3,https://i.ebayimg.com/thumbs/images/g/o~MAAOSw5jlkihWs/s-l140.jpg,885286
Apple MacBook Pro 2020 A2338 13in M1 8 Core 16GB RAM 1TB SSD Excellent Condition,824.95,98.3,https://i.ebayimg.com/thumbs/images/g/KZEAAOSw1RdlF0Q2/s-l140.jpg,1227526
"New Listing2018 Apple MacBook Pro A1990 15"" i7 2.60GHz 16GB 512GB SSD MR942LL/A",429.29,97.3,https://i.ebayimg.com/thumbs/images/g/jSkAAOSwLxpmfkYu/s-l140.jpg,638784
"2024 OSX SONOMA BEAST MACBOOK PRO 15"" - 2.3GHz i9 - 32GB RAM - 512GB SSD - GRAY",684.99,98.7,https://i.ebayimg.com/thumbs/images/g/wN4AAOSwoSlmYfGn/s-l140.jpg,1019265
